nohup: ignoring input

Bad key savefig.frameon in file /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle, line 421 ('savefig.frameon : True')
You probably need to get an updated matplotlibrc file from
https://github.com/matplotlib/matplotlib/blob/v3.4.3/matplotlibrc.template
or from the matplotlib source distribution

Bad key verbose.level in file /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle, line 472 ('verbose.level  : silent      # one of silent, helpful, debug, debug-annoying')
You probably need to get an updated matplotlibrc file from
https://github.com/matplotlib/matplotlib/blob/v3.4.3/matplotlibrc.template
or from the matplotlib source distribution

Bad key verbose.fileo in file /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle, line 473 ('verbose.fileo  : sys.stdout  # a log filename, sys.stdout or sys.stderr')
You probably need to get an updated matplotlibrc file from
https://github.com/matplotlib/matplotlib/blob/v3.4.3/matplotlibrc.template
or from the matplotlib source distribution
In /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle: 
The text.latex.preview rcparam was deprecated in Matplotlib 3.3 and will be removed two minor releases later.
In /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle: 
The mathtext.fallback_to_cm rcparam was deprecated in Matplotlib 3.3 and will be removed two minor releases later.
In /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle: Support for setting the 'mathtext.fallback_to_cm' rcParam is deprecated since 3.3 and will be removed two minor releases later; use 'mathtext.fallback : 'cm' instead.
In /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle: 
The validate_bool_maybe_none function was deprecated in Matplotlib 3.3 and will be removed two minor releases later.
In /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle: 
The savefig.jpeg_quality rcparam was deprecated in Matplotlib 3.3 and will be removed two minor releases later.
In /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle: 
The keymap.all_axes rcparam was deprecated in Matplotlib 3.3 and will be removed two minor releases later.
In /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle: 
The animation.avconv_path rcparam was deprecated in Matplotlib 3.3 and will be removed two minor releases later.
In /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle: 
The animation.avconv_args rcparam was deprecated in Matplotlib 3.3 and will be removed two minor releases later.
deep
pygame 2.0.2 (SDL 2.0.16, Python 3.9.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
/home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/gym/logger.py:34: UserWarning: [33mWARN: Box bound precision lowered by casting to float16[0m
  warnings.warn(colorize("%s: %s" % ("WARN", msg % args), "yellow"))
<__array_function__ internals>:5: VisibleDeprecationWarning: Creating an ndarray from ragged nested sequences (which is a list-or-tuple of lists-or-tuples-or ndarrays with different lengths or shapes) is deprecated. If you meant to do this, you must specify 'dtype=object' when creating the ndarray.
4
cuda:0
4
cuda:0
episode:  0 , score:  -33.760000000000375 , average score: -33.8 , best score: -inf , epsilon: 0.99 , steps:  752
episode:  186 , score:  31.620000000000672 , average score: -18.1 , best score: -9.07 , epsilon: 0.10 , steps:  242239
episode:  187 , score:  26.944999999999894 , average score: -17.1 , best score: -9.07 , epsilon: 0.10 , steps:  242850
episode:  188 , score:  -72.36000000000023 , average score: -17.5 , best score: -9.07 , epsilon: 0.10 , steps:  243322
episode:  189 , score:  -72.08000000000028 , average score: -17.9 , best score: -9.07 , epsilon: 0.10 , steps:  243738
episode:  190 , score:  45.850000000000186 , average score: -16.9 , best score: -9.07 , epsilon: 0.10 , steps:  244568
episode:  191 , score:  -82.19499999999957 , average score: -18.7 , best score: -9.07 , epsilon: 0.10 , steps:  245007
episode:  192 , score:  -44.60000000000145 , average score: -19.8 , best score: -9.07 , epsilon: 0.10 , steps:  245927
episode:  193 , score:  -47.164999999999345 , average score: -19.8 , best score: -9.07 , epsilon: 0.10 , steps:  247360
episode:  194 , score:  24.3500000000004 , average score: -19.4 , best score: -9.07 , epsilon: 0.10 , steps:  248490
episode:  195 , score:  -82.79500000000102 , average score: -19.8 , best score: -9.07 , epsilon: 0.10 , steps:  249049
episode:  196 , score:  16.25500000000022 , average score: -19.4 , best score: -9.07 , epsilon: 0.10 , steps:  249798
episode:  197 , score:  -8.38000000000815 , average score: -19.0 , best score: -9.07 , epsilon: 0.10 , steps:  255474
episode:  198 , score:  -54.065000000000495 , average score: -20.0 , best score: -9.07 , epsilon: 0.10 , steps:  256287
episode:  199 , score:  14.335000000000289 , average score: -19.4 , best score: -9.07 , epsilon: 0.10 , steps:  257420
... saving checkpoint ...
... saving checkpoint ...
episode:  200 , score:  -24.58500000000089 , average score: -19.3 , best score: -9.07 , epsilon: 0.10 , steps:  258337
episode:  201 , score:  -52.7350000000001 , average score: -20.0 , best score: -9.07 , epsilon: 0.10 , steps:  258884
episode:  202 , score:  25.88999999999983 , average score: -20.1 , best score: -9.07 , epsilon: 0.10 , steps:  259706
episode:  203 , score:  -25.024999999999864 , average score: -20.8 , best score: -9.07 , epsilon: 0.10 , steps:  260711
episode:  204 , score:  23.905000000000094 , average score: -19.9 , best score: -9.07 , epsilon: 0.10 , steps:  261930
episode:  205 , score:  -83.85000000000106 , average score: -20.2 , best score: -9.07 , epsilon: 0.10 , steps:  262700
episode:  206 , score:  -23.929999999999566 , average score: -20.2 , best score: -9.07 , epsilon: 0.10 , steps:  263486
episode:  207 , score:  -63.450000000000244 , average score: -20.4 , best score: -9.07 , epsilon: 0.10 , steps:  264176
episode:  208 , score:  -74.1250000000005 , average score: -20.6 , best score: -9.07 , epsilon: 0.10 , steps:  265001
episode:  209 , score:  -81.90500000000014 , average score: -21.7 , best score: -9.07 , epsilon: 0.10 , steps:  265382
episode:  210 , score:  -62.06000000000041 , average score: -21.7 , best score: -9.07 , epsilon: 0.10 , steps:  265794
episode:  211 , score:  -35.4599999999999 , average score: -22.4 , best score: -9.07 , epsilon: 0.10 , steps:  266886
episode:  212 , score:  -22.864999999999938 , average score: -22.8 , best score: -9.07 , epsilon: 0.10 , steps:  267459
episode:  213 , score:  -33.455000000000375 , average score: -22.5 , best score: -9.07 , epsilon: 0.10 , steps:  268150
episode:  214 , score:  -62.43500000000051 , average score: -23.6 , best score: -9.07 , epsilon: 0.10 , steps:  268637
episode:  215 , score:  -75.4050000000014 , average score: -24.6 , best score: -9.07 , epsilon: 0.10 , steps:  269718
episode:  216 , score:  -82.98999999999924 , average score: -26.1 , best score: -9.07 , epsilon: 0.10 , steps:  270316
episode:  217 , score:  -74.89500000000062 , average score: -27.2 , best score: -9.07 , epsilon: 0.10 , steps:  271295
episode:  218 , score:  -52.59500000000049 , average score: -27.4 , best score: -9.07 , epsilon: 0.10 , steps:  271814
episode:  219 , score:  -84.18499999999955 , average score: -28.6 , best score: -9.07 , epsilon: 0.10 , steps:  272651
episode:  220 , score:  -54.51000000000008 , average score: -28.6 , best score: -9.07 , epsilon: 0.10 , steps:  273553
episode:  221 , score:  -25.045000000000034 , average score: -29.2 , best score: -9.07 , epsilon: 0.10 , steps:  274562
episode:  222 , score:  -34.330000000000375 , average score: -29.7 , best score: -9.07 , epsilon: 0.10 , steps:  275428
episode:  223 , score:  -44.665000000000155 , average score: -30.7 , best score: -9.07 , epsilon: 0.10 , steps:  276361
episode:  224 , score:  -24.11000000000051 , average score: -30.6 , best score: -9.07 , epsilon: 0.10 , steps:  277183
episode:  225 , score:  -53.515000000000974 , average score: -31.3 , best score: -9.07 , epsilon: 0.10 , steps:  277886
episode:  226 , score:  -54.765000000000974 , average score: -32.5 , best score: -9.07 , epsilon: 0.10 , steps:  278839
episode:  227 , score:  -61.969999999999935 , average score: -33.2 , best score: -9.07 , epsilon: 0.10 , steps:  279233
episode:  228 , score:  14.67500000000024 , average score: -33.1 , best score: -9.07 , epsilon: 0.10 , steps:  280298
episode:  229 , score:  -92.56999999999995 , average score: -33.5 , best score: -9.07 , epsilon: 0.10 , steps:  280812
episode:  230 , score:  -52.46500000000027 , average score: -34.3 , best score: -9.07 , epsilon: 0.10 , steps:  281305
episode:  231 , score:  -33.3600000000007 , average score: -34.4 , best score: -9.07 , epsilon: 0.10 , steps:  281977
episode:  232 , score:  -102.76499999999906 , average score: -35.0 , best score: -9.07 , epsilon: 0.10 , steps:  282530
episode:  233 , score:  -97.33999999999862 , average score: -34.9 , best score: -9.07 , epsilon: 0.10 , steps:  283998
episode:  234 , score:  -74.55500000000107 , average score: -34.9 , best score: -9.07 , epsilon: 0.10 , steps:  284909
episode:  235 , score:  22.64500000000026 , average score: -34.8 , best score: -9.07 , epsilon: 0.10 , steps:  286380
episode:  236 , score:  34.485000000000014 , average score: -34.8 , best score: -9.07 , epsilon: 0.10 , steps:  287483
episode:  237 , score:  -43.6400000000003 , average score: -34.9 , best score: -9.07 , epsilon: 0.10 , steps:  288211
episode:  238 , score:  55.24000000000002 , average score: -34.5 , best score: -9.07 , epsilon: 0.10 , steps:  289163
episode:  239 , score:  -34.26000000000005 , average score: -34.3 , best score: -9.07 , epsilon: 0.10 , steps:  290015
episode:  240 , score:  -92.50500000000018 , average score: -35.4 , best score: -9.07 , epsilon: 0.10 , steps:  290516
episode:  241 , score:  -23.600000000000477 , average score: -34.7 , best score: -9.07 , epsilon: 0.10 , steps:  291236
episode:  242 , score:  -37.270000000001716 , average score: -34.6 , best score: -9.07 , epsilon: 0.10 , steps:  292690
episode:  243 , score:  -53.47000000000106 , average score: -34.6 , best score: -9.07 , epsilon: 0.10 , steps:  293384
episode:  244 , score:  34.290000000000035 , average score: -33.4 , best score: -9.07 , epsilon: 0.10 , steps:  294526
episode:  245 , score:  -86.2800000000005 , average score: -33.0 , best score: -9.07 , epsilon: 0.10 , steps:  295782
episode:  246 , score:  -26.125000000000654 , average score: -33.5 , best score: -9.07 , epsilon: 0.10 , steps:  297007
episode:  247 , score:  -74.86000000000098 , average score: -34.5 , best score: -9.07 , epsilon: 0.10 , steps:  297979
episode:  248 , score:  -82.24499999999945 , average score: -34.7 , best score: -9.07 , epsilon: 0.10 , steps:  298428
episode:  249 , score:  -62.8250000000003 , average score: -34.3 , best score: -9.07 , epsilon: 0.10 , steps:  298993
... saving checkpoint ...
... saving checkpoint ...
episode:  250 , score:  -81.83000000000008 , average score: -34.3 , best score: -9.07 , epsilon: 0.10 , steps:  299359
episode:  251 , score:  -54.58000000000013 , average score: -34.0 , best score: -9.07 , epsilon: 0.10 , steps:  300275
episode:  252 , score:  -34.459999999999674 , average score: -33.4 , best score: -9.07 , epsilon: 0.10 , steps:  301167
episode:  253 , score:  -83.39500000000034 , average score: -33.4 , best score: -9.07 , epsilon: 0.10 , steps:  301846
episode:  254 , score:  -42.880000000000464 , average score: -34.3 , best score: -9.07 , epsilon: 0.10 , steps:  302422
episode:  255 , score:  -34.95000000000013 , average score: -34.0 , best score: -9.07 , epsilon: 0.10 , steps:  303412
episode:  256 , score:  -45.47500000000147 , average score: -33.4 , best score: -9.07 , epsilon: 0.10 , steps:  304507
episode:  257 , score:  15.82500000000027 , average score: -33.4 , best score: -9.07 , epsilon: 0.10 , steps:  305342
episode:  258 , score:  -54.735000000001094 , average score: -34.1 , best score: -9.07 , epsilon: 0.10 , steps:  306289
episode:  259 , score:  25.035000000000387 , average score: -33.3 , best score: -9.07 , epsilon: 0.10 , steps:  307282
episode:  260 , score:  36.59999999999999 , average score: -32.7 , best score: -9.07 , epsilon: 0.10 , steps:  307962
episode:  261 , score:  24.21499999999928 , average score: -32.9 , best score: -9.07 , epsilon: 0.10 , steps:  309119
episode:  262 , score:  -76.12499999999919 , average score: -33.0 , best score: -9.07 , epsilon: 0.10 , steps:  310344
episode:  263 , score:  -34.15499999999979 , average score: -32.7 , best score: -9.07 , epsilon: 0.10 , steps:  311175
episode:  264 , score:  -101.56999999999907 , average score: -34.0 , best score: -9.07 , epsilon: 0.10 , steps:  311489
episode:  265 , score:  42.76500000000051 , average score: -33.1 , best score: -9.07 , epsilon: 0.10 , steps:  312936
episode:  266 , score:  25.120000000000275 , average score: -33.5 , best score: -9.07 , epsilon: 0.10 , steps:  313912
episode:  267 , score:  44.8299999999999 , average score: -32.7 , best score: -9.07 , epsilon: 0.10 , steps:  314946
episode:  268 , score:  87.06499999999961 , average score: -32.1 , best score: -9.07 , epsilon: 0.10 , steps:  315533
episode:  269 , score:  46.465000000000245 , average score: -32.0 , best score: -9.07 , epsilon: 0.10 , steps:  316240
episode:  270 , score:  57.405000000000186 , average score: -31.0 , best score: -9.07 , epsilon: 0.10 , steps:  316759
episode:  271 , score:  -95.76000000000062 , average score: -32.2 , best score: -9.07 , epsilon: 0.10 , steps:  317911
episode:  272 , score:  -62.30500000000019 , average score: -33.0 , best score: -9.07 , epsilon: 0.10 , steps:  318372
episode:  273 , score:  -53.245000000000495 , average score: -33.2 , best score: -9.07 , epsilon: 0.10 , steps:  319021
episode:  274 , score:  14.54500000000046 , average score: -32.4 , best score: -9.07 , epsilon: 0.10 , steps:  320112
episode:  275 , score:  -71.78000000000002 , average score: -32.8 , best score: -9.07 , epsilon: 0.10 , steps:  320468
episode:  276 , score:  46.51000000000009 , average score: -31.6 , best score: -9.07 , epsilon: 0.10 , steps:  321166
episode:  277 , score:  56.44000000000045 , average score: -30.5 , best score: -9.07 , epsilon: 0.10 , steps:  321878
episode:  278 , score:  53.90499999999965 , average score: -29.5 , best score: -9.07 , epsilon: 0.10 , steps:  323097
episode:  279 , score:  -64.13000000000073 , average score: -30.3 , best score: -9.07 , epsilon: 0.10 , steps:  323923
episode:  280 , score:  23.97499999999973 , average score: -30.4 , best score: -9.07 , epsilon: 0.10 , steps:  325128
episode:  281 , score:  53.780000000000356 , average score: -30.0 , best score: -9.07 , epsilon: 0.10 , steps:  326372
episode:  282 , score:  34.264999999999915 , average score: -30.2 , best score: -9.07 , epsilon: 0.10 , steps:  327519
episode:  283 , score:  -62.865000000001004 , average score: -30.6 , best score: -9.07 , epsilon: 0.10 , steps:  328092
episode:  284 , score:  -24.920000000000144 , average score: -29.9 , best score: -9.07 , epsilon: 0.10 , steps:  329076
episode:  285 , score:  67.4799999999998 , average score: -28.6 , best score: -9.07 , epsilon: 0.10 , steps:  329580
episode:  286 , score:  15.039999999999083 , average score: -28.7 , best score: -9.07 , epsilon: 0.10 , steps:  330572
episode:  287 , score:  94.0949999999983 , average score: -28.0 , best score: -9.07 , epsilon: 0.10 , steps:  331753
episode:  288 , score:  -72.30500000000063 , average score: -28.0 , best score: -9.07 , epsilon: 0.10 , steps:  332214
episode:  289 , score:  43.79500000000038 , average score: -26.9 , best score: -9.07 , epsilon: 0.10 , steps:  333455
episode:  290 , score:  -62.82500000000008 , average score: -28.0 , best score: -9.07 , epsilon: 0.10 , steps:  334020
episode:  291 , score:  -47.355000000001894 , average score: -27.6 , best score: -9.07 , epsilon: 0.10 , steps:  335491
episode:  292 , score:  43.925000000000445 , average score: -26.7 , best score: -9.07 , epsilon: 0.10 , steps:  336706
episode:  293 , score:  13.574999999998235 , average score: -26.1 , best score: -9.07 , epsilon: 0.10 , steps:  337991
episode:  294 , score:  -62.92000000000101 , average score: -27.0 , best score: -9.07 , epsilon: 0.10 , steps:  338575
episode:  295 , score:  36.92499999999931 , average score: -25.8 , best score: -9.07 , epsilon: 0.10 , steps:  339190
episode:  296 , score:  -39.70000000000075 , average score: -26.4 , best score: -9.07 , epsilon: 0.10 , steps:  341130
episode:  297 , score:  -82.96500000000097 , average score: -27.1 , best score: -9.07 , epsilon: 0.10 , steps:  341723
episode:  298 , score:  15.554999999999927 , average score: -26.4 , best score: -9.07 , epsilon: 0.10 , steps:  342612
episode:  299 , score:  -81.21499999999999 , average score: -27.4 , best score: -9.07 , epsilon: 0.10 , steps:  342855
... saving checkpoint ...
... saving checkpoint ...
episode:  300 , score:  -73.040000000001 , average score: -27.9 , best score: -9.07 , epsilon: 0.10 , steps:  343463
episode:  301 , score:  -63.05500000000033 , average score: -28.0 , best score: -9.07 , epsilon: 0.10 , steps:  344074
episode:  302 , score:  -33.500000000000405 , average score: -28.6 , best score: -9.07 , epsilon: 0.10 , steps:  344774
episode:  303 , score:  -55.68000000000157 , average score: -28.9 , best score: -9.07 , epsilon: 0.10 , steps:  345910
episode:  304 , score:  -84.72499999999832 , average score: -29.9 , best score: -9.07 , epsilon: 0.10 , steps:  346855
episode:  305 , score:  96.21500000000054 , average score: -28.1 , best score: -9.07 , epsilon: 0.10 , steps:  347612
episode:  306 , score:  -52.97500000000106 , average score: -28.4 , best score: -9.07 , epsilon: 0.10 , steps:  348207
